"Notes"	"Year"	"Year Code"	"State"	"State Code"	"County"	"County Code"	Deaths	Population	Crude Rate
	"2012"	"2012"	"Alabama"	"01"	"Autauga County, AL"	"01001"	20	55514	36.0
	"2012"	"2012"	"Alabama"	"01"	"Baldwin County, AL"	"01003"	31	190790	16.2
	"2012"	"2012"	"Alabama"	"01"	"Blount County, AL"	"01009"	11	57826	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Calhoun County, AL"	"01015"	30	117296	25.6
	"2012"	"2012"	"Alabama"	"01"	"Coffee County, AL"	"01031"	11	51252	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Colbert County, AL"	"01033"	16	54446	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Cullman County, AL"	"01043"	12	80440	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Elmore County, AL"	"01051"	13	80629	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Etowah County, AL"	"01055"	24	104392	23.0
	"2012"	"2012"	"Alabama"	"01"	"Franklin County, AL"	"01059"	10	31761	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Geneva County, AL"	"01061"	10	26931	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Houston County, AL"	"01069"	32	103402	30.9
	"2012"	"2012"	"Alabama"	"01"	"Jefferson County, AL"	"01073"	132	660009	20.0
	"2012"	"2012"	"Alabama"	"01"	"Lauderdale County, AL"	"01077"	33	92542	35.7
	"2012"	"2012"	"Alabama"	"01"	"Lee County, AL"	"01081"	14	147257	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Limestone County, AL"	"01083"	14	87654	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Madison County, AL"	"01089"	69	343080	20.1
	"2012"	"2012"	"Alabama"	"01"	"Marshall County, AL"	"01095"	13	94776	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Mobile County, AL"	"01097"	76	413936	18.4
	"2012"	"2012"	"Alabama"	"01"	"Montgomery County, AL"	"01101"	29	230149	12.6
	"2012"	"2012"	"Alabama"	"01"	"Morgan County, AL"	"01103"	16	120395	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Russell County, AL"	"01113"	17	57820	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"St. Clair County, AL"	"01115"	14	85237	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Shelby County, AL"	"01117"	16	200941	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Talladega County, AL"	"01121"	23	81762	28.1
	"2012"	"2012"	"Alabama"	"01"	"Tallapoosa County, AL"	"01123"	11	41168	Unreliable
	"2012"	"2012"	"Alabama"	"01"	"Tuscaloosa County, AL"	"01125"	33	198596	16.6
	"2012"	"2012"	"Alabama"	"01"	"Walker County, AL"	"01127"	24	66221	36.2
	"2012"	"2012"	"Alaska"	"02"	"Anchorage Borough, AK"	"02020"	13	298610	Unreliable
	"2012"	"2012"	"Arizona"	"04"	"Cochise County, AZ"	"04003"	31	132088	23.5
	"2012"	"2012"	"Arizona"	"04"	"Gila County, AZ"	"04007"	20	53144	37.6
	"2012"	"2012"	"Arizona"	"04"	"Maricopa County, AZ"	"04013"	465	3942169	11.8
	"2012"	"2012"	"Arizona"	"04"	"Mohave County, AZ"	"04015"	69	203334	33.9
	"2012"	"2012"	"Arizona"	"04"	"Navajo County, AZ"	"04017"	19	107094	Unreliable
	"2012"	"2012"	"Arizona"	"04"	"Pima County, AZ"	"04019"	150	992394	15.1
	"2012"	"2012"	"Arizona"	"04"	"Pinal County, AZ"	"04021"	41	387365	10.6
	"2012"	"2012"	"Arizona"	"04"	"Yavapai County, AZ"	"04025"	37	212637	17.4
	"2012"	"2012"	"Arizona"	"04"	"Yuma County, AZ"	"04027"	28	200022	14.0
	"2012"	"2012"	"Arkansas"	"05"	"Baxter County, AR"	"05005"	15	41048	Unreliable
	"2012"	"2012"	"Arkansas"	"05"	"Benton County, AR"	"05007"	44	232268	18.9
	"2012"	"2012"	"Arkansas"	"05"	"Crittenden County, AR"	"05035"	16	50021	Unreliable
	"2012"	"2012"	"Arkansas"	"05"	"Faulkner County, AR"	"05045"	23	118704	19.4
	"2012"	"2012"	"Arkansas"	"05"	"Garland County, AR"	"05051"	28	96903	28.9
	"2012"	"2012"	"Arkansas"	"05"	"Jefferson County, AR"	"05069"	17	74723	Unreliable
	"2012"	"2012"	"Arkansas"	"05"	"Lonoke County, AR"	"05085"	21	69839	30.1
	"2012"	"2012"	"Arkansas"	"05"	"Miller County, AR"	"05091"	10	43634	Unreliable
	"2012"	"2012"	"Arkansas"	"05"	"Poinsett County, AR"	"05111"	11	24307	Unreliable
	"2012"	"2012"	"Arkansas"	"05"	"Pulaski County, AR"	"05119"	104	388953	26.7
	"2012"	"2012"	"Arkansas"	"05"	"Saline County, AR"	"05125"	22	111845	19.7
	"2012"	"2012"	"Arkansas"	"05"	"Sebastian County, AR"	"05131"	20	127304	15.7
	"2012"	"2012"	"Arkansas"	"05"	"Union County, AR"	"05139"	12	40867	Unreliable
	"2012"	"2012"	"Arkansas"	"05"	"Washington County, AR"	"05143"	30	211411	14.2
	"2012"	"2012"	"Arkansas"	"05"	"White County, AR"	"05145"	20	78493	25.5
	"2012"	"2012"	"California"	"06"	"Alameda County, CA"	"06001"	252	1554720	16.2
	"2012"	"2012"	"California"	"06"	"Butte County, CA"	"06007"	51	221539	23.0
	"2012"	"2012"	"California"	"06"	"Calaveras County, CA"	"06009"	13	44742	Unreliable
	"2012"	"2012"	"California"	"06"	"Contra Costa County, CA"	"06013"	181	1079597	16.8
	"2012"	"2012"	"California"	"06"	"El Dorado County, CA"	"06017"	25	180561	13.8
	"2012"	"2012"	"California"	"06"	"Fresno County, CA"	"06019"	132	947895	13.9
	"2012"	"2012"	"California"	"06"	"Humboldt County, CA"	"06023"	19	134827	Unreliable
	"2012"	"2012"	"California"	"06"	"Imperial County, CA"	"06025"	23	176948	13.0
	"2012"	"2012"	"California"	"06"	"Kern County, CA"	"06029"	112	856158	13.1
	"2012"	"2012"	"California"	"06"	"Kings County, CA"	"06031"	23	151364	15.2
	"2012"	"2012"	"California"	"06"	"Lake County, CA"	"06033"	10	63983	Unreliable
	"2012"	"2012"	"California"	"06"	"Los Angeles County, CA"	"06037"	1684	9962789	16.9
	"2012"	"2012"	"California"	"06"	"Madera County, CA"	"06039"	18	152218	Unreliable
	"2012"	"2012"	"California"	"06"	"Marin County, CA"	"06041"	27	256069	10.5
	"2012"	"2012"	"California"	"06"	"Mendocino County, CA"	"06045"	23	87428	26.3
	"2012"	"2012"	"California"	"06"	"Merced County, CA"	"06047"	27	262305	10.3
	"2012"	"2012"	"California"	"06"	"Monterey County, CA"	"06053"	46	426762	10.8
	"2012"	"2012"	"California"	"06"	"Napa County, CA"	"06055"	21	139045	15.1
	"2012"	"2012"	"California"	"06"	"Nevada County, CA"	"06057"	25	98292	25.4
	"2012"	"2012"	"California"	"06"	"Orange County, CA"	"06059"	436	3090132	14.1
	"2012"	"2012"	"California"	"06"	"Placer County, CA"	"06061"	57	361682	15.8
	"2012"	"2012"	"California"	"06"	"Riverside County, CA"	"06065"	340	2268783	15.0
	"2012"	"2012"	"California"	"06"	"Sacramento County, CA"	"06067"	216	1450121	14.9
	"2012"	"2012"	"California"	"06"	"San Benito County, CA"	"06069"	10	56884	Unreliable
	"2012"	"2012"	"California"	"06"	"San Bernardino County, CA"	"06071"	296	2081313	14.2
	"2012"	"2012"	"California"	"06"	"San Diego County, CA"	"06073"	347	3177063	10.9
	"2012"	"2012"	"California"	"06"	"San Francisco County, CA"	"06075"	107	825863	13.0
	"2012"	"2012"	"California"	"06"	"San Joaquin County, CA"	"06077"	126	702612	17.9
	"2012"	"2012"	"California"	"06"	"San Luis Obispo County, CA"	"06079"	35	274804	12.7
	"2012"	"2012"	"California"	"06"	"San Mateo County, CA"	"06081"	87	739311	11.8
	"2012"	"2012"	"California"	"06"	"Santa Barbara County, CA"	"06083"	54	431249	12.5
	"2012"	"2012"	"California"	"06"	"Santa Clara County, CA"	"06085"	182	1837504	9.9
	"2012"	"2012"	"California"	"06"	"Santa Cruz County, CA"	"06087"	35	266776	13.1
	"2012"	"2012"	"California"	"06"	"Shasta County, CA"	"06089"	29	178586	16.2
	"2012"	"2012"	"California"	"06"	"Solano County, CA"	"06095"	60	420757	14.3
	"2012"	"2012"	"California"	"06"	"Sonoma County, CA"	"06097"	65	491829	13.2
	"2012"	"2012"	"California"	"06"	"Stanislaus County, CA"	"06099"	87	521726	16.7
	"2012"	"2012"	"California"	"06"	"Sutter County, CA"	"06101"	14	95022	Unreliable
